DATE_TIME,AC_POWER,DC_POWER
09-01-2020 12:15,82.8405,84.443875
09-01-2020 12:30,83.16248,84.78467
09-01-2020 12:45,82.89188,84.46564
09-01-2020 13:00,73.84357,75.1914
09-01-2020 13:15,78.73313,80.08306
09-01-2020 13:30,78.64026,80.04478
09-01-2020 13:45,74.18164,75.52513
09-01-2020 14:00,71.23655,72.48621
09-01-2020 14:15,68.34839,69.6106
09-01-2020 14:30,65.92252,67.1241
09-01-2020 14:45,62.86903,64.020105
09-01-2020 15:00,56.82125,57.85922
09-01-2020 15:15,50.70515,51.641785
09-01-2020 15:30,44.54727,45.38032
09-01-2020 15:45,37.7775,38.510906
09-01-2020 16:00,30.64837,31.266674
09-01-2020 16:15,24.12132,24.646133
09-01-2020 16:30,17.75565,18.200254
09-01-2020 16:45,8.72999,8.97804
09-01-2020 17:00,0,0
09-01-2020 17:15,0,0
09-01-2020 17:30,1.01168,1.0411267
09-01-2020 17:45,1.21243,1.2448467
09-01-2020 18:00,0.02621,0.026206667
09-01-2020 18:15,0,0
10-01-2020 06:15,0,0
10-01-2020 06:30,0.14697,0.14779333
10-01-2020 06:45,1.39685,1.4353201
10-01-2020 07:00,2.65753,2.7357065
10-01-2020 07:15,6.55047,6.71654
10-01-2020 07:30,9.3761,9.55162
10-01-2020 07:45,13.90225,14.13214
10-01-2020 08:00,19.20496,19.52536
10-01-2020 08:15,24.87656,25.272232
10-01-2020 08:30,30.01429,30.48124
10-01-2020 08:45,38.04906,38.63544
10-01-2020 09:00,46.87093,47.59615
10-01-2020 09:15,54.79721,55.66508
10-01-2020 09:30,59.15207,60.111574
10-01-2020 09:45,55.10473,56.028125
10-01-2020 10:00,72.10945,73.339055
10-01-2020 10:15,79.13463,80.548836
10-01-2020 10:30,73.65651,74.97674
10-01-2020 10:45,85.43398,86.950586
10-01-2020 11:00,69.2148,70.45221
10-01-2020 11:15,77.06687,78.47734
10-01-2020 11:30,61.91126,63.07702
10-01-2020 11:45,55.48839,56.55354
10-01-2020 12:00,38.56011,39.319586
10-01-2020 12:15,40.32809,41.095145
10-01-2020 12:30,81.68702,83.27162
10-01-2020 12:45,73.55974,74.94199
10-01-2020 13:00,66.31991,67.555836
10-01-2020 13:15,93.92886,95.69538
10-01-2020 13:30,94.60683,96.43593
10-01-2020 13:45,84.71082,86.308805
10-01-2020 14:00,71.37629,72.69852
10-01-2020 14:15,41.69383,42.479555
10-01-2020 14:30,68.46656,69.69268
10-01-2020 14:45,22.36036,22.860586
10-01-2020 15:00,51.05015,51.92678
10-01-2020 15:15,33.29788,33.928727
10-01-2020 15:30,37.33585,38.023973
10-01-2020 15:45,35.08461,35.70234
10-01-2020 16:00,34.27896,34.895527
10-01-2020 16:15,28.53433,29.083688
10-01-2020 16:30,11.57331,11.912047
10-01-2020 16:45,10.43385,10.72554
10-01-2020 17:00,9.15829,9.42834
10-01-2020 17:15,4.59451,4.731413
10-01-2020 17:30,2.64383,2.7207734
10-01-2020 17:45,0.89563,0.91825336
10-01-2020 18:00,0.0196,0.0196
11-01-2020 06:15,0,0
11-01-2020 06:30,0.21539,0.21691333
11-01-2020 06:45,1.38414,1.4222
11-01-2020 07:00,2.73961,2.81928
11-01-2020 07:15,5.35965,5.5202334
11-01-2020 07:30,8.79622,9.018687
11-01-2020 07:45,7.89077,8.099513
11-01-2020 08:00,18.02308,18.321414
11-01-2020 08:15,16.69665,16.951133
11-01-2020 08:30,24.31021,24.689734
11-01-2020 08:45,28.12933,28.55048
